,latitude,longitude,depth,mag,new_label
0,6.9174,124.7976,10.0,4.0,0
1,6.7421,124.9735,10.0,4.5,0
2,7.3847,124.8093,10.0,4.7,0
3,6.7156,124.9668,10.0,4.4,0
4,6.8481,124.9196,13.27,4.8,0
6,6.7918,124.9621,10.0,4.4,0
7,6.9481,124.881,10.0,4.8,0
10,6.8376,124.8947,13.29,4.3,0
11,6.8504,124.8669,14.08,4.6,0
12,6.7323,124.9942,12.86,4.5,0
13,6.7345,124.9692,10.0,4.5,0
14,6.73,124.9577,10.0,4.5,0
15,6.7253,124.94,10.0,4.3,0
17,6.7966,124.9652,10.0,4.4,0
18,6.7977,124.9055,10.0,4.8,0
19,7.4196,124.5795,10.0,4.4,0
20,7.2664,124.6802,10.0,4.5,0
22,7.1591,124.9877,30.04,4.5,0
23,6.8793,124.9897,4.31,4.4,0
29,7.5727,124.7236,35.0,4.3,0
33,7.2643,124.7848,26.36,4.4,0
34,7.3795,124.73200000000001,13.87,4.4,0
35,7.4074,124.7802,10.0,4.4,0
37,7.5429,124.7405,35.58,4.6,0
38,7.562,124.6944,10.0,4.6,0
39,7.5002,124.64399999999999,10.0,4.2,0
40,7.5539,124.67,10.0,4.4,0
41,7.0965,124.2461,52.68,4.4,0
45,7.0836,124.0155,147.03,4.2,0
49,6.9873,124.9495,19.05,4.7,0
51,7.2718,124.749,12.63,4.7,0
55,7.1944,124.8779,26.35,4.4,0
56,6.6723,124.7589,10.0,4.4,0
57,7.5360000000000005,124.656,10.0,4.2,0
58,7.067,123.863,64.3,4.2,0
59,7.16,124.944,21.3,4.6,0
62,7.263,124.819,11.0,4.3,0
63,7.369,124.564,10.0,4.3,0
66,6.902,124.039,61.7,4.4,0
71,6.894,124.02,56.2,4.7,0
73,6.667000000000001,123.87200000000001,59.1,4.7,0
74,7.501,124.412,43.6,4.4,0
76,6.8839999999999995,124.501,24.0,4.7,0
82,7.317,124.053,10.0,4.5,0
84,6.872000000000001,123.986,63.1,4.6,0
85,7.831,124.26799999999999,85.7,4.7,0
90,6.971,123.87,51.2,4.4,0
92,7.047999999999999,124.508,33.0,4.6,0
103,6.707000000000001,124.065,33.0,4.6,0
106,7.899,124.24700000000001,33.0,4.1,0
107,7.46,124.29,28.3,4.4,0
110,7.281000000000001,124.241,33.0,4.3,0
152,7.7,123.912,33.0,4.0,0
156,7.394,124.325,33.0,3.8,0
157,7.803999999999999,124.60600000000001,47.1,4.2,0
158,7.407,124.031,33.0,4.1,0
160,7.5920000000000005,124.315,11.8,4.5,0
161,7.367000000000001,124.963,10.0,3.8,0
162,7.27,124.149,33.0,4.0,0
163,6.769,124.661,10.0,4.7,0
164,7.313,124.4,30.8,4.2,0
165,6.971,123.919,33.0,4.3,0
167,6.892,123.93299999999999,33.0,4.7,0
175,6.898,123.95,33.0,4.6,0
176,6.87,123.87799999999999,53.1,4.8,0
183,6.778,124.03200000000001,77.3,4.2,0
184,6.796,123.98,56.5,4.0,0
189,7.6160000000000005,124.417,10.0,4.8,0
190,7.34,124.28399999999999,10.0,4.6,0
192,7.646,124.421,34.2,4.8,0
196,7.5360000000000005,124.52600000000001,48.1,4.8,0
197,6.879,123.979,33.0,3.6,0
200,7.524,124.31,35.0,3.7,0
202,7.801,124.697,49.0,4.6,0
203,7.204,124.02,33.0,4.7,0
208,7.94,123.994,85.0,4.5,0
212,6.855,124.08200000000001,95.0,4.8,0
219,7.64,123.87799999999999,33.0,4.5,0
221,6.676,124.024,61.0,4.7,0
222,6.9239999999999995,124.04700000000001,67.0,4.6,0
223,6.7620000000000005,124.119,33.0,4.8,0
226,6.818,123.89399999999999,33.0,4.7,0
