,latitude,longitude,depth,mag,labels
204,6.807,123.863,554.0,5.4,1
205,6.686,123.949,65.0,5.1,1
206,6.712999999999999,123.87100000000001,24.0,5.1,1
207,6.682,123.98200000000001,46.0,5.6,1
208,7.94,123.994,85.0,4.5,1
209,6.8839999999999995,124.04899999999999,563.0,4.5,1
211,6.899,124.001,589.0,5.4,1
212,6.855,124.08200000000001,95.0,4.8,1
213,6.867000000000001,123.976,45.0,5.5,1
214,6.934,123.875,30.0,5.9,1
215,6.681,124.00200000000001,75.0,5.2,1
216,6.855,124.213,37.0,4.9,1
217,6.922000000000001,124.069,41.0,6.0,1
218,6.8420000000000005,124.169,49.0,5.2,1
219,7.64,123.87799999999999,33.0,4.5,1
220,6.705,123.921,33.0,5.3,1
221,6.676,124.024,61.0,4.7,1
222,6.9239999999999995,124.04700000000001,67.0,4.6,1
223,6.7620000000000005,124.119,33.0,4.8,1
224,6.978,123.934,63.0,5.0,1
225,6.819,123.867,54.0,5.2,1
226,6.818,123.89399999999999,33.0,4.7,1
227,6.815,123.969,33.0,5.1,1
229,7.322,124.876,46.0,5.1,1
230,6.688,124.085,73.0,4.9,1
231,8.017000000000001,124.075,623.0,5.6,1
